file,bytes,source,status,url
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0002o.png,65705,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0002o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0003o.png,67021,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0003o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0004o.png,68404,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0004o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0001o.png,72465,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0001o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0005o.png,69533,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0005o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0006o.png,70786,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0006o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0007o.png,72398,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0007o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0008o.png,73964,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0008o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0009o.png,75585,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0009o.png
D:\HumanBrain\02_Classified_Volumes\Histological_Space\full_cls_1000um.nii.gz,201506,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/3D_Classified_Volumes/Histological_Space/nii/full_cls_1000um.nii.gz
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0011o.png,78940,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0011o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0010o.png,77485,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0010o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0012o.png,80873,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0012o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0013o.png,82279,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0013o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0014o.png,84451,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0014o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0016o.png,89195,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0016o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0015o.png,86818,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0015o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0017o.png,91915,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0017o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0018o.png,95344,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0018o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0019o.png,97233,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0019o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0020o.png,98054,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0020o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0021o.png,101309,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0021o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0023o.png,107080,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0023o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0022o.png,103990,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0022o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0024o.png,110892,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0024o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0025o.png,114027,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0025o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0026o.png,116291,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0026o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0027o.png,119255,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0027o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0030o.png,123751,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0030o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0028o.png,119610,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0028o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0029o.png,121537,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0029o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0032o.png,131147,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0032o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0034o.png,138721,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0034o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm0031o.png,127323,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm0031o.png
