node,label,system
0,LH_Vis_1,Vis
1,LH_Vis_2,Vis
2,LH_Vis_3,Vis
3,LH_Vis_4,Vis
4,LH_Vis_5,Vis
5,LH_Vis_6,Vis
6,LH_Vis_7,Vis
7,LH_Vis_8,Vis
8,LH_Vis_9,Vis
9,LH_Vis_10,Vis
10,LH_Vis_11,Vis
11,LH_Vis_12,Vis
12,LH_Vis_13,Vis
13,LH_Vis_14,Vis
14,LH_Vis_15,Vis
15,LH_Vis_16,Vis
16,LH_Vis_17,Vis
17,LH_Vis_18,Vis
18,LH_Vis_19,Vis
19,LH_Vis_20,Vis
20,LH_Vis_21,Vis
21,LH_Vis_22,Vis
22,LH_Vis_23,Vis
23,LH_Vis_24,Vis
24,LH_Vis_25,Vis
25,LH_Vis_26,Vis
26,LH_Vis_27,Vis
27,LH_Vis_28,Vis
28,LH_Vis_29,Vis
29,LH_Vis_30,Vis
30,LH_Vis_31,Vis
31,LH_SomMot_1,SomMot
32,LH_SomMot_2,SomMot
33,LH_SomMot_3,SomMot
34,LH_SomMot_4,SomMot
35,LH_SomMot_5,SomMot
36,LH_SomMot_6,SomMot
37,LH_SomMot_7,SomMot
38,LH_SomMot_8,SomMot
39,LH_SomMot_9,SomMot
40,LH_SomMot_10,SomMot
41,LH_SomMot_11,SomMot
42,LH_SomMot_12,SomMot
43,LH_SomMot_13,SomMot
44,LH_SomMot_14,SomMot
45,LH_SomMot_15,SomMot
46,LH_SomMot_16,SomMot
47,LH_SomMot_17,SomMot
48,LH_SomMot_18,SomMot
49,LH_SomMot_19,SomMot
50,LH_SomMot_20,SomMot
51,LH_SomMot_21,SomMot
52,LH_SomMot_22,SomMot
53,LH_SomMot_23,SomMot
54,LH_SomMot_24,SomMot
55,LH_SomMot_25,SomMot
56,LH_SomMot_26,SomMot
57,LH_SomMot_27,SomMot
58,LH_SomMot_28,SomMot
59,LH_SomMot_29,SomMot
60,LH_SomMot_30,SomMot
61,LH_SomMot_31,SomMot
62,LH_SomMot_32,SomMot
63,LH_SomMot_33,SomMot
64,LH_SomMot_34,SomMot
65,LH_SomMot_35,SomMot
66,LH_SomMot_36,SomMot
67,LH_SomMot_37,SomMot
68,LH_DorsAttn_Post_1,DorsAttn
69,LH_DorsAttn_Post_2,DorsAttn
70,LH_DorsAttn_Post_3,DorsAttn
71,LH_DorsAttn_Post_4,DorsAttn
72,LH_DorsAttn_Post_5,DorsAttn
73,LH_DorsAttn_Post_6,DorsAttn
74,LH_DorsAttn_Post_7,DorsAttn
75,LH_DorsAttn_Post_8,DorsAttn
76,LH_DorsAttn_Post_9,DorsAttn
77,LH_DorsAttn_Post_10,DorsAttn
78,LH_DorsAttn_Post_11,DorsAttn
79,LH_DorsAttn_Post_12,DorsAttn
80,LH_DorsAttn_Post_13,DorsAttn
81,LH_DorsAttn_Post_14,DorsAttn
82,LH_DorsAttn_Post_15,DorsAttn
83,LH_DorsAttn_Post_16,DorsAttn
84,LH_DorsAttn_Post_17,DorsAttn
85,LH_DorsAttn_FEF_1,DorsAttn
86,LH_DorsAttn_FEF_2,DorsAttn
87,LH_DorsAttn_FEF_3,DorsAttn
88,LH_DorsAttn_FEF_4,DorsAttn
89,LH_DorsAttn_PrCv_1,DorsAttn
90,LH_DorsAttn_PrCv_2,DorsAttn
91,LH_SalVentAttn_ParOper_1,SalVentAttn
92,LH_SalVentAttn_ParOper_2,SalVentAttn
93,LH_SalVentAttn_ParOper_3,SalVentAttn
94,LH_SalVentAttn_ParOper_4,SalVentAttn
95,LH_SalVentAttn_TempOcc_1,SalVentAttn
96,LH_SalVentAttn_FrOperIns_1,SalVentAttn
97,LH_SalVentAttn_FrOperIns_2,SalVentAttn
98,LH_SalVentAttn_FrOperIns_3,SalVentAttn
99,LH_SalVentAttn_FrOperIns_4,SalVentAttn
100,LH_SalVentAttn_FrOperIns_5,SalVentAttn
101,LH_SalVentAttn_FrOperIns_6,SalVentAttn
102,LH_SalVentAttn_FrOperIns_7,SalVentAttn
103,LH_SalVentAttn_FrOperIns_8,SalVentAttn
104,LH_SalVentAttn_FrOperIns_9,SalVentAttn
105,LH_SalVentAttn_PFCl_1,SalVentAttn
106,LH_SalVentAttn_Med_1,SalVentAttn
107,LH_SalVentAttn_Med_2,SalVentAttn
108,LH_SalVentAttn_Med_3,SalVentAttn
109,LH_SalVentAttn_Med_4,SalVentAttn
110,LH_SalVentAttn_Med_5,SalVentAttn
111,LH_SalVentAttn_Med_6,SalVentAttn
112,LH_SalVentAttn_Med_7,SalVentAttn
113,LH_Limbic_OFC_1,Limbic
114,LH_Limbic_OFC_2,Limbic
115,LH_Limbic_OFC_3,Limbic
116,LH_Limbic_OFC_4,Limbic
117,LH_Limbic_OFC_5,Limbic
118,LH_Limbic_TempPole_1,Limbic
119,LH_Limbic_TempPole_2,Limbic
120,LH_Limbic_TempPole_3,Limbic
121,LH_Limbic_TempPole_4,Limbic
122,LH_Limbic_TempPole_5,Limbic
123,LH_Limbic_TempPole_6,Limbic
124,LH_Limbic_TempPole_7,Limbic
125,LH_Limbic_TempPole_8,Limbic
126,LH_Cont_Par_1,Cont
127,LH_Cont_Par_2,Cont
128,LH_Cont_Par_3,Cont
129,LH_Cont_Par_4,Cont
130,LH_Cont_Par_5,Cont
131,LH_Cont_Par_6,Cont
132,LH_Cont_Temp_1,Cont
133,LH_Cont_OFC_1,Cont
134,LH_Cont_PFCl_1,Cont
