n_nodes,sym_max_abs_dev,diag_nonzero,nan_count,inf_count,neg_offdiag,zero_offdiag,offdiag_density,strength_mean,strength_median,strength_p95,weight_min,weight_max,subject,atlas,variant,expected_nodes,source_zip,source_member
156,0.0,143,0,0,0,4100,0.8304383788254756,69152.5,59945.0,176613.0,0.0,74156.0,1,atlas_4S156Parcels,radius2_count_connectivity,156,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
156,0.0,143,0,0,0,4100,0.8304383788254756,15464.589398780092,15865.683156234189,20480.86190306359,0.0,248.776306152344,1,atlas_4S156Parcels,radius2_meanlength_connectivity,156,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
156,0.0,143,0,0,0,4100,0.8304383788254756,41.013643926337735,42.189050113436686,78.96448149749519,0.0,24.9489901540399,1,atlas_4S156Parcels,sift_invnodevol_radius2_count_connectivity,156,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
156,0.0,143,0,0,0,4100,0.8304383788254756,43005.56036993374,38708.88881115617,104004.20975036174,0.0,46260.1585618705,1,atlas_4S156Parcels,sift_radius2_count_connectivity,156,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
256,0.0,243,0,0,0,18140,0.7221200980392157,45799.859375,40284.0,107685.75,0.0,74187.0,1,atlas_4S256Parcels,radius2_count_connectivity,256,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
256,0.0,243,0,0,0,18140,0.7221200980392157,22555.05777784288,22370.36251103565,32571.397198527466,0.0,248.786834716797,1,atlas_4S256Parcels,radius2_meanlength_connectivity,256,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
256,0.0,243,0,0,0,18140,0.7221200980392157,50.20962794168288,49.65851440666984,88.6044646268904,0.0,30.8190153129021,1,atlas_4S256Parcels,sift_invnodevol_radius2_count_connectivity,256,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
256,0.0,243,0,0,0,18140,0.7221200980392157,29290.37567274528,26732.631686002,63600.74974879435,0.0,46238.1994045228,1,atlas_4S256Parcels,sift_radius2_count_connectivity,256,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
456,0.0,436,0,0,0,94768,0.5432427221900906,26778.144736842107,20788.5,53843.75,0.0,74053.0,1,atlas_4S456Parcels,radius2_count_connectivity,456,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
456,0.0,436,0,0,0,94768,0.5432427221900906,29520.893891325293,28563.63241288533,47831.18804404934,0.0,248.786834716797,1,atlas_4S456Parcels,radius2_meanlength_connectivity,456,connectomes_part_1.zip,sub-0001_run-1_space-T1w_connectivity.mat
