subject,n_nodes,density_raw,isolated_nodes_post_threshold,n_components_multi,giant_frac,ge,strength_mean,flag_density_iqr,flag_strength_iqr,flag_components,flag_isolated,qc_pass
1,456,0.5432427221900906,0,1,1.0,0.5539570079043763,17491.967603148696,False,False,False,False,True
3,456,0.4260555234239445,0,1,1.0,0.5485331919542445,15089.779352190268,False,False,False,False,True
4,456,0.4637459032195874,0,1,1.0,0.5532388663967611,13695.918145031881,False,False,False,False,True
5,456,0.3589261615577405,0,1,1.0,0.5417574384679648,15255.17090842301,False,False,False,False,True
6,456,0.566657027183343,0,1,1.0,0.5510274082642503,15426.195012834381,False,False,False,False,True
7,456,0.5374783111625216,0,1,1.0,0.5525930210140736,14713.83165891926,False,False,False,False,True
8,456,0.2962116830537883,0,1,1.0,0.5395548165285007,14844.237122812063,False,False,False,False,True
9,456,0.3336128783497205,0,1,1.0,0.5421398046398046,15373.558789768043,False,False,False,False,True
10,456,0.4737998843262001,0,1,1.0,0.5478487886382623,15007.351238442945,False,False,False,False,True
11,456,0.4708887603624446,0,1,1.0,0.5404063042220937,15900.326008779928,False,False,False,False,True
12,456,0.5092442645074224,0,1,1.0,0.5450926996979628,15651.317789241868,False,False,False,False,True
13,456,0.2781569307885097,0,1,1.0,0.5430659983291563,14035.540167931795,False,False,False,False,True
14,456,0.5446018893387314,0,1,1.0,0.5467603303129619,17044.07178940134,False,False,False,False,True
15,456,0.46495083863504916,0,1,1.0,0.5505735492577598,16791.317054271567,False,False,False,False,True
16,456,0.39788895315211104,0,1,1.0,0.5449392712550607,17827.500434590012,False,False,False,False,True
18,456,0.5407942934258724,0,1,1.0,0.5413782854572328,17474.442516305207,False,False,False,False,True
19,456,0.4510892616155774,0,1,1.0,0.5499638519375362,14897.230531304062,False,False,False,False,True
20,456,0.4923462502409871,1,1,0.9978070175438597,0.5467667566351777,17046.447583520458,False,False,False,True,False
21,456,0.5451031424715636,0,1,1.0,0.5493131868131869,15997.206237260612,False,False,False,False,True
22,456,0.40161943319838056,0,1,1.0,0.5402609086819612,14344.987444153709,False,False,False,False,True
23,456,0.5082995951417004,0,1,1.0,0.5463217338217338,15143.915042290497,False,False,False,False,True
24,456,0.47040678619625986,0,1,1.0,0.5432186234817814,15823.49531250692,False,False,False,False,True
25,456,0.46999228841334106,1,1,0.9978070175438597,0.5461345671871988,14530.537004178292,False,False,False,True,False
26,456,0.20464623096202045,0,1,1.0,0.5381113039007775,13304.114099204278,False,False,False,False,True
27,456,0.5433776749566224,0,1,1.0,0.5507599126020178,16572.665811514285,False,False,False,False,True
28,456,0.3837092731829574,0,1,1.0,0.5464341944605102,15025.552598000455,False,False,False,False,True
29,456,0.4609311740890688,0,1,1.0,0.5485629136944926,14512.604894101521,False,False,False,False,True
