node,cis,degree,strength,cis_rank,e0
0,-0.00042052131774981104,44,19609.913548976183,390,0.5543859649122806
1,0.00015288898911253884,78,26235.778994485736,152,0.5543859649122806
2,-0.0007348782372481066,28,10365.235010579228,446,0.5543859649122806
3,-0.00018766434034388126,55,14889.870633035898,315,0.5543859649122806
4,-2.4664456159349937e-05,68,18479.091329202056,240,0.5543859649122806
5,-0.00014982508151518989,54,14548.40894678235,300,0.5543859649122806
6,-9.16108371637575e-05,55,6858.125530153513,271,0.5543859649122806
7,-2.1753743941958553e-05,67,19299.97701883316,239,0.5543859649122806
8,0.0005138173040921004,101,16459.95528757572,56,0.5543859649122806
9,-0.0007086818272901823,26,4949.941381901503,444,0.5543859649122806
10,-0.00024005716026033062,48,7300.776647180319,337,0.5543859649122806
11,0.0001878175357234383,85,19687.816079050303,135,0.5543859649122806
12,3.646050040947382e-05,63,5715.263902202249,208,0.5543859649122806
13,-0.000242967872477722,49,18661.54058636725,340,0.5543859649122806
14,7.138904702057356e-05,75,10012.28291977197,193,0.5543859649122806
15,-0.0005689676408463842,27,4388.5410482138395,424,0.5543859649122806
16,-0.00017311077925592306,64,21600.924028337,307,0.5543859649122806
17,0.00020819252124657984,87,13328.443040370941,125,0.5543859649122806
18,1.8996227104124212e-05,69,20563.87242360413,217,0.5543859649122806
19,-0.00032446781456988756,41,3153.7429289221764,361,0.5543859649122806
20,-0.00024005716026033062,55,7849.694828376174,336,0.5543859649122806
21,-0.0004903784109718103,42,4011.8288557827473,409,0.5543859649122806
22,-0.00010616439825171574,65,23018.882212415338,278,0.5543859649122806
23,-2.46644561595502e-05,64,10208.917809203267,241,0.5543859649122806
24,0.00028096032668597045,96,27951.386601895094,103,0.5543859649122806
25,0.00024021035563988766,84,13896.406090080738,116,0.5543859649122806
26,-0.000242967872477722,51,10462.352314457297,341,0.5543859649122806
27,-0.00018475362812628963,53,8904.066534548998,314,0.5543859649122806
28,-3.339659281232513e-05,65,7404.619462221861,245,0.5543859649122806
29,0.0005109065918745088,105,17830.040171697736,57,0.5543859649122806
30,5.101406149743205e-05,73,18130.322828114033,201,0.5543859649122806
31,0.00027804961446857904,96,13070.243481829762,104,0.5543859649122806
32,0.00013542471580718922,78,18995.324447005987,162,0.5543859649122806
33,-0.0005340390942354847,32,6079.127287656069,416,0.5543859649122806
34,-0.00011198582268689903,70,15228.81532369554,281,0.5543859649122806
35,-0.00046418200101348546,38,5904.597834601998,398,0.5543859649122806
36,-0.0002487892969129053,50,11588.405832588673,343,0.5543859649122806
37,-0.0005398605186706679,37,9091.309087023139,419,0.5543859649122806
38,-0.0006330033096329998,36,7666.534312367439,431,0.5543859649122806
39,4.5192637062248756e-05,72,7159.485570952296,203,0.5543859649122806
40,-0.0007203246761603487,27,6781.470729768276,445,0.5543859649122806
41,-0.00047873556210144367,38,11221.794454440475,403,0.5543859649122806
42,0.0003100674488616866,89,11800.18057462573,90,0.5543859649122806
43,-0.0003710392100511536,40,5904.907599419355,374,0.5543859649122806
44,-0.00040014633222707006,43,5461.923384979367,383,0.5543859649122806
45,-0.00011198582268689903,60,8389.808775797486,282,0.5543859649122806
46,0.0014859951847627033,119,22059.30197443068,9,0.5543859649122806
47,-0.0004176106055324196,36,6310.6232868134975,388,0.5543859649122806
48,0.00021692465789935477,67,16138.272161498666,122,0.5543859649122806
49,0.00012087115471943127,66,11827.905692234635,167,0.5543859649122806
50,-0.0003652177856159703,42,12404.06430286169,373,0.5543859649122806
51,-0.00014400365708020686,65,13267.993427410722,297,0.5543859649122806
52,-0.0007057711150723904,21,4580.453306496143,442,0.5543859649122806
53,0.00011504973028404771,63,7769.278568908572,169,0.5543859649122806
54,0.0003449959954725861,79,10506.214847445488,78,0.5543859649122806
55,0.00029842459999132,82,11717.298628672957,95,0.5543859649122806
56,0.00024603178007507096,88,35015.701786756516,113,0.5543859649122806
57,-0.000181842915908698,58,14318.691720873117,312,0.5543859649122806
58,-0.00020803932586682252,57,13160.841548651457,324,0.5543859649122806
59,-0.00012945009599224863,57,8832.678518652916,290,0.5543859649122806
60,-4.289470636608946e-06,66,15330.44461260736,230,0.5543859649122806
61,-0.00010325368603412409,56,7350.263877615333,276,0.5543859649122806
62,0.0009009420290297867,106,10723.274852961302,19,0.5543859649122806
63,0.0010290133666032181,116,20313.910696566105,16,0.5543859649122806
64,9.467474476110646e-05,72,10556.580518439412,180,0.5543859649122806
65,0.00022274608233453804,73,6685.385313972831,119,0.5543859649122806
66,1.8996227104124212e-05,53,4737.247237876058,216,0.5543859649122806
67,-0.0001410929448626152,52,5084.716426208615,296,0.5543859649122806
68,-0.00041178918109723635,45,19326.036285802722,387,0.5543859649122806
69,0.0001587104135477221,69,25569.38330888748,149,0.5543859649122806
70,0.0002911478194476413,90,32030.50180914998,99,0.5543859649122806
71,-0.0001760214914735147,62,14863.12221287191,309,0.5543859649122806
72,-0.0008804138481268878,18,6909.682199567556,455,0.5543859649122806
73,-0.00013527152042743193,49,4793.5303636193275,292,0.5543859649122806
74,0.00011796044250163935,58,16406.4677182436,168,0.5543859649122806
75,-0.0005806104897167507,35,3198.542223379016,426,0.5543859649122806
76,-0.0008163781793404724,26,6383.292720794678,451,0.5543859649122806
77,-0.0007698067838590061,23,2781.809271275997,450,0.5543859649122806
78,-0.000708681827289982,36,3497.8768700510263,443,0.5543859649122806
79,-0.0004787355621016439,38,9936.00274117291,405,0.5543859649122806
80,0.0006797279004940232,111,11258.966334745288,36,0.5543859649122806
81,-0.00013527152042743193,55,9368.244971320033,293,0.5543859649122806
82,0.0003246210099496448,84,7063.587977439165,86,0.5543859649122806
83,0.0004934423185691592,96,9679.69328275323,58,0.5543859649122806
84,-0.00031864639013470423,33,4673.956037387252,360,0.5543859649122806
85,0.0003479067076901777,86,17099.151537805796,77,0.5543859649122806
86,-0.0005515033675408343,32,14259.647698953748,421,0.5543859649122806
87,-0.0006912175539844322,28,8672.748037010431,441,0.5543859649122806
88,-6.832513942322461e-05,59,25401.8800778538,260,0.5543859649122806
89,1.3174802668940923e-05,58,13454.136881172657,221,0.5543859649122806
90,0.0002431210678574793,79,16689.23434907198,115,0.5543859649122806
91,0.00011213901806665633,65,15620.934495210648,171,0.5543859649122806
92,-2.7575168377141846e-05,54,4181.304794445634,243,0.5543859649122806
93,7.353378233957895e-06,72,13547.23809929192,225,0.5543859649122806
94,0.0002751389022507871,74,6200.9584098905325,106,0.5543859649122806
95,-0.00010907511046930738,75,19812.81853801012,279,0.5543859649122806
96,0.00028096032668597045,95,5978.7160813212395,102,0.5543859649122806
97,0.0011570847041766498,173,30572.741572588682,12,0.5543859649122806
98,-0.0003070035412643377,46,10588.378779515624,357,0.5543859649122806
99,0.0006011386706194493,124,18160.642794027925,41,0.5543859649122806
100,-0.0003419320878752371,41,12096.732213810086,367,0.5543859649122806
101,-6.250371498804133e-05,61,7868.186642259359,256,0.5543859649122806
102,-1.884303172436691e-05,54,8133.953992798924,238,0.5543859649122806
103,0.0004817994696987926,106,13375.91069598496,60,0.5543859649122806
104,0.00038283525430127745,94,10067.774673730135,73,0.5543859649122806
105,-0.00026334285800066326,36,14686.644869536161,348,0.5543859649122806
106,0.0004294066497823433,91,14725.153120711446,67,0.5543859649122806
107,0.0005720315484437331,109,17925.20474614203,49,0.5543859649122806
108,1.3174802668940923e-05,55,7186.4045098125935,224,0.5543859649122806
109,0.000772870691456355,123,15153.434227466583,28,0.5543859649122806
110,0.00013542471580718922,66,4995.497747927904,163,0.5543859649122806
111,0.0008660134824188872,121,13319.999582156539,23,0.5543859649122806
112,4.228192484485737e-05,67,7809.102864250541,204,0.5543859649122806
113,-8.578941272857422e-05,45,7652.409377679229,270,0.5543859649122806
114,-6.541442720563296e-05,49,17868.864242628217,258,0.5543859649122806
115,0.00020819252124657984,74,31604.568697556853,126,0.5543859649122806
116,5.392477371502369e-05,59,20170.567726373672,199,0.5543859649122806
117,0.0004381387864351182,94,30329.696804463863,65,0.5543859649122806
118,0.00010049616919628975,65,28798.66442734003,177,0.5543859649122806
119,5.6835485932615334e-05,60,19432.333968818188,198,0.5543859649122806
120,-0.000126539383774657,54,12742.18881072104,288,0.5543859649122806
121,0.00019072824794123022,74,23776.641563788056,133,0.5543859649122806
122,-0.00015855721816796482,52,13870.428992465138,302,0.5543859649122806
123,0.001069763337649301,142,36566.400062814355,15,0.5543859649122806
124,8.594260810853179e-05,63,14865.747840836644,185,0.5543859649122806
125,-1.884303172436691e-05,63,8679.652220055461,237,0.5543859649122806
126,-0.0007552532227712481,26,15119.182454146445,449,0.5543859649122806
127,-0.0003331999512226625,32,1432.9020198583603,363,0.5543859649122806
128,0.00010049616919628975,68,10884.731695786119,178,0.5543859649122806
129,0.00011213901806665633,65,12413.879050597548,172,0.5543859649122806
130,-0.0005544140797584259,42,10980.070579394698,422,0.5543859649122806
131,-0.0006708425684614909,29,6537.923436760902,438,0.5543859649122806
132,-4.79501539000831e-05,73,11135.043306782842,252,0.5543859649122806
133,-0.00017893220369110633,38,6287.710573077202,311,0.5543859649122806
134,6.265691036779862e-05,70,14647.337779253721,195,0.5543859649122806
135,0.0005458351384854083,108,13460.699455559254,53,0.5543859649122806
136,0.00029551388777392866,83,14251.823095679283,97,0.5543859649122806
137,-0.0002691642824360468,43,13040.46042959392,349,0.5543859649122806
138,0.00019072824794123022,75,20575.312336549163,134,0.5543859649122806
139,0.0008223527991552128,114,31490.46433761716,24,0.5543859649122806
140,-0.0008775031359094964,17,6037.997368514538,454,0.5543859649122806
141,1.608551488653257e-05,60,22832.872403547168,219,0.5543859649122806
142,-0.00039432490779188673,41,12004.630813270807,380,0.5543859649122806
143,0.0007583171303685971,116,14858.632093712687,29,0.5543859649122806
144,0.0009591562733814192,119,6342.91301548481,17,0.5543859649122806
145,-7.2001828540003295e-06,60,6927.132225006819,233,0.5543859649122806
146,0.00020237109681139654,70,8807.356047198176,130,0.5543859649122806
147,0.0005632994117909582,110,21420.90692539513,50,0.5543859649122806
148,0.0002605853411628289,95,20523.35727122426,112,0.5543859649122806
149,0.00031879958551446155,86,18854.27218836546,88,0.5543859649122806
150,0.0002722281900331955,85,23587.31015111506,107,0.5543859649122806
151,0.0003042460244267036,96,18988.815219819546,92,0.5543859649122806
152,0.00026931747781560385,92,14724.352545008063,108,0.5543859649122806
153,0.0002140139456817631,84,27761.70180939138,123,0.5543859649122806
154,-0.0003419320878752371,50,8976.674070239067,366,0.5543859649122806
155,-0.00016728935482073976,57,14290.803857430816,305,0.5543859649122806
156,4.81033492798404e-05,67,13630.672209367156,202,0.5543859649122806
157,-0.0006853961295494492,38,6170.351900592446,440,0.5543859649122806
158,-0.00043507487883776924,50,11744.316032081842,396,0.5543859649122806
159,-0.00042925345440258597,44,8650.98136331141,392,0.5543859649122806
160,-0.00020512861364923088,54,7774.96261228621,322,0.5543859649122806
161,-0.00013818223264502357,65,12565.060755342245,295,0.5543859649122806
162,9.758545697849784e-05,66,14346.372033402324,179,0.5543859649122806
163,-4.212872946510007e-05,67,14647.820624411106,249,0.5543859649122806
164,-0.00047000342544866873,46,14342.935588881373,401,0.5543859649122806
165,-0.000298271404611763,50,17328.592891782522,355,0.5543859649122806
166,-0.00017893220369110633,38,8880.442125082016,310,0.5543859649122806
167,-0.00026043214578327185,43,14661.902366548777,347,0.5543859649122806
