subject,null_id,seed,rewire_accepted,n_swaps_factor,attempts,cis_runtime_s,status
11,0,100,79268,10,1,34.637,ok
11,1,101,78959,10,1,40.87,ok
11,2,102,79393,10,1,41.729,ok
11,3,103,78742,10,1,36.911,ok
11,4,104,79105,10,1,34.629,ok
11,5,105,79268,10,1,39.65,ok
11,6,106,79591,10,1,40.558,ok
11,7,107,78838,10,1,44.203,ok
11,8,108,79326,10,1,34.964,ok
11,9,109,79411,10,1,36.57,ok
11,10,110,79644,10,1,37.845,ok
11,11,111,79221,10,1,39.39,ok
11,12,112,79707,10,1,35.449,ok
11,13,113,79216,10,1,31.724,ok
11,14,114,79214,10,1,35.035,ok
11,15,115,79072,10,1,37.251,ok
11,16,116,79282,10,1,34.646,ok
11,17,117,79764,10,1,36.612,ok
11,18,118,79593,10,1,38.287,ok
11,19,119,79508,10,1,31.124,ok
11,20,120,79283,10,1,35.899,ok
11,21,121,79197,10,1,40.271,ok
11,22,122,78969,10,1,35.608,ok
11,23,123,79089,10,1,34.479,ok
11,24,124,79235,10,1,31.295,ok
11,25,125,78878,10,1,43.607,ok
11,26,126,79068,10,1,44.181,ok
11,27,127,79071,10,1,36.776,ok
11,28,128,79165,10,1,37.232,ok
11,29,129,79266,10,1,42.993,ok
11,30,130,79390,10,1,39.636,ok
11,31,131,79460,10,1,34.679,ok
11,32,132,79238,10,1,33.419,ok
11,33,133,79326,10,1,36.256,ok
11,34,134,79295,10,1,34.269,ok
11,35,135,79490,10,1,34.897,ok
11,36,136,79337,10,1,32.388,ok
11,37,137,79436,10,1,32.012,ok
11,38,138,79264,10,1,41.206,ok
11,39,139,79644,10,1,39.835,ok
11,40,140,79572,10,1,31.23,ok
11,41,141,79523,10,1,46.28,ok
11,42,142,79425,10,1,32.24,ok
11,43,143,79213,10,1,36.058,ok
11,44,144,79320,10,1,35.494,ok
11,45,145,79062,10,1,32.173,ok
11,46,146,79579,10,1,30.814,ok
11,47,147,79279,10,1,33.105,ok
11,48,148,78931,10,1,29.446,ok
11,49,149,79211,10,1,37.332,ok
11,50,150,79216,10,1,30.527,ok
11,51,151,79327,10,1,32.99,ok
11,52,152,79616,10,1,40.724,ok
11,53,153,79399,10,1,33.795,ok
11,54,154,79547,10,1,29.933,ok
11,55,155,79518,10,1,36.439,ok
11,56,156,79201,10,1,37.544,ok
11,57,157,79168,10,1,40.807,ok
11,58,158,79416,10,1,34.27,ok
11,59,159,79422,10,1,33.721,ok
11,60,160,79520,10,1,34.111,ok
11,61,161,79017,10,1,33.502,ok
11,62,162,79307,10,1,35.489,ok
11,63,163,79195,10,1,29.997,ok
11,64,164,79290,10,1,36.711,ok
11,65,165,79490,10,1,37.828,ok
11,66,166,79193,10,1,36.769,ok
11,67,167,79336,10,1,40.166,ok
11,68,168,78726,10,1,34.097,ok
11,69,169,79162,10,1,35.578,ok
11,70,170,79497,10,1,42.796,ok
11,71,171,79407,10,1,32.878,ok
11,72,172,79454,10,1,30.101,ok
11,73,173,79209,10,1,33.068,ok
11,74,174,78877,10,1,33.828,ok
11,75,175,79291,10,1,30.842,ok
11,76,176,79027,10,1,30.602,ok
11,77,177,79187,10,1,29.351,ok
