rank,node,system,cis_population_mean,degree_population_mean,peer_pool_n,peer_median_cis,cis_excess_ratio,top50_member
1,414,Subcortical_Cerebellar,0.00456389538012312,235.28339575530586,4,0.0040184975034428475,1.1357218403677003,True
2,400,Subcortical_Cerebellar,0.004287981645196272,226.5318352059925,4,0.0040184975034428475,1.0670609205362314,True
3,415,Subcortical_Cerebellar,0.0037490133616894235,227.4856429463171,4,0.0040184975034428475,0.9329390794637689,True
4,401,Subcortical_Cerebellar,0.003416941357623935,213.34207240948814,3,0.0037490133616894235,0.9114241609648874,True
5,451,Subcortical_Cerebellar,0.002056930299480308,144.68789013732834,7,0.0010909094891300552,1.8855187529082778,True
6,442,Subcortical_Cerebellar,0.0019850233720366487,159.0561797752809,6,0.001522306023182318,1.3039581672856022,True
7,444,Subcortical_Cerebellar,0.0018214822899325664,158.83895131086143,6,0.001522306023182318,1.1965283341156547,True
8,286,DorsAttn,0.001446009092454664,124.59051186017479,9,0.0007968353230942054,1.814689999985995,True
9,97,SalVentAttn,0.0012231297564320696,160.2134831460674,6,0.001522306023182318,0.8034716658843452,True
10,432,Subcortical_Cerebellar,0.0010909094891300552,146.45568039950064,7,0.0012231297564320696,0.8919000485380165,True
11,439,Subcortical_Cerebellar,0.0010393921965053995,146.19975031210987,7,0.0012231297564320696,0.8497808111032784,True
12,428,Subcortical_Cerebellar,0.0010002118629681598,134.43695380774034,9,0.0010002118629681598,1.0,True
13,435,Subcortical_Cerebellar,0.0008514861675966277,131.4594257178527,6,0.0008332047894539572,1.0219410382346112,True
14,430,Subcortical_Cerebellar,0.0008149234113112868,123.80024968789014,9,0.0007968353230942054,1.0226999076130852,True
15,425,Subcortical_Cerebellar,0.0007968353230942054,118.25717852684144,13,0.0006810310584431054,1.1700425600498139,True
16,446,Subcortical_Cerebellar,0.0007660460086275865,103.6729088639201,26,0.0005227308812460507,1.465469204347632,True
17,411,Subcortical_Cerebellar,0.0007433605666747826,114.97378277153558,18,0.000572614807208456,1.2981860708400574,True
18,174,Default,0.0007310484048667262,111.1398252184769,17,0.0005571720316606009,1.3120694566952733,True
19,418,Subcortical_Cerebellar,0.0006986655706459932,125.76779026217228,8,0.0008058793672027461,0.8669604894726389,True
20,437,Subcortical_Cerebellar,0.0006810310584431054,111.00624219725343,17,0.0005571720316606009,1.222299433109293,True
21,355,Cont,0.0006717798605107887,100.8689138576779,30,0.0004921240591220154,1.3650620164949712,True
22,63,SomMot,0.0006258621025645883,93.65168539325843,34,0.00044468438359114186,1.407429911323415,True
23,303,SalVentAttn,0.0005844301112005076,121.29088639200998,11,0.0007310484048667262,0.7994410593195291,True
24,253,SomMot,0.0005798709993921338,88.2247191011236,55,0.00028869615695546627,2.008585793130539,True
25,440,Subcortical_Cerebellar,0.0005607995032164045,109.58052434456928,18,0.0005556482391051909,1.0092707287608957,True
26,177,Default,0.0005585040364043775,99.52933832709114,31,0.00047976508111677,1.1641198127723749,True
27,123,Limbic,0.0005571720316606009,104.70661672908864,25,0.0005317596899795642,1.047789146413135,True
28,199,Default,0.000556630581817845,86.23595505617978,62,0.00027620196619744866,2.0153027492205693,True
29,436,Subcortical_Cerebellar,0.0005541244465497808,103.76404494382022,26,0.0005227308812460507,1.0600568407760724,True
30,433,Subcortical_Cerebellar,0.0005491389346111491,107.23595505617978,21,0.0005367750744094416,1.0230335959904813,True
31,447,Subcortical_Cerebellar,0.0005367750744094416,97.95006242197253,32,0.00047625030948593547,1.1270860379887975,True
32,431,Subcortical_Cerebellar,0.0005339651383064127,107.53682896379526,22,0.0005429570045102953,0.9834390824150201,True
33,227,Vis,0.0005317596899795642,97.93882646691635,31,0.00047976508111677,1.1083751421461605,True
34,109,SalVentAttn,0.0005189003067414405,91.58676654182273,43,0.000398790903832095,1.3011839080459964,True
35,310,SalVentAttn,0.0005137020725125373,94.47440699126092,33,0.00045594116532808495,1.1266850014362904,True
