subject,atlas,cost,ge,cpl,n_components_excl_singletons,giant_frac,mean_degree,edges
1,atlas_4S456Parcels,0.1,0.4986970631707473,,1,0.9978070175438596,45.5,10374
1,atlas_4S456Parcels,0.15,0.5539570079043763,,1,1.0,68.25,15561
1,atlas_4S456Parcels,0.2,0.5920747381273697,,1,1.0,91.0,20748
1,atlas_4S456Parcels,0.25,0.6223587815693079,,1,1.0,113.75,25935
1,atlas_4S256Parcels,0.1,0.4795521854575163,,1,0.9921875,25.5,3264
1,atlas_4S256Parcels,0.15,0.5411203022875817,,1,0.99609375,38.25,4896
1,atlas_4S256Parcels,0.2,0.5834329044117647,,1,0.99609375,51.0,6528
1,atlas_4S256Parcels,0.25,0.6193882761437908,,1,1.0,63.75,8160
1,atlas_4S156Parcels,0.1,0.4319079128756548,,1,0.9487179487179488,15.5,1209
1,atlas_4S156Parcels,0.15,0.5194375516956162,,1,0.9807692307692308,23.256410256410252,1814
1,atlas_4S156Parcels,0.2,0.5713813068651779,,1,0.9871794871794872,31.0,2418
1,atlas_4S156Parcels,0.25,0.6101392335263303,,1,0.9935897435897436,38.74358974358975,3022
1,atlas_Brainnetome246Ext,0.1,0.4737847222222222,,1,1.0,25.5,3264
1,atlas_Brainnetome246Ext,0.15,0.5326899509803922,,1,1.0,38.25,4896
1,atlas_Brainnetome246Ext,0.2,0.5793504901960784,,1,1.0,51.0,6528
1,atlas_Brainnetome246Ext,0.25,0.6153339460784314,,1,1.0,63.75,8160
1,atlas_AICHA384Ext,0.1,0.4848596203441788,,1,0.9974619289340102,39.2994923857868,7742
1,atlas_AICHA384Ext,0.15,0.5439813917843134,,1,1.0,58.9492385786802,11613
1,atlas_AICHA384Ext,0.2,0.5858068224383565,,1,1.0,78.5989847715736,15484
1,atlas_AICHA384Ext,0.25,0.6187253243090806,,1,1.0,98.248730964467,19355
1,atlas_Gordon333Ext,0.1,0.4990169552669552,,1,1.0,38.4,7392
1,atlas_Gordon333Ext,0.15,0.552765376984127,,1,1.0,57.6,11088
1,atlas_Gordon333Ext,0.2,0.5896521013708514,,1,1.0,76.8,14784
1,atlas_Gordon333Ext,0.25,0.6208784271284271,,1,1.0,96.0,18480
1,atlas_AAL116,0.1,0.4087031484257871,,1,0.9655172413793104,11.5,667
