stability_rank,node,cis_mean,cis_median,cis_sd,degree_mean,strength_mean,cv,top50_rate,topdecile_rate
1,415,0.0037217035476758,0.0034695115132426,0.0014423485196374,226.92333333333332,61364.82457291832,0.3875506206124892,1.0,1.0
2,401,0.0034202163297245,0.0031376662198761,0.0013751530665212,213.8111111111111,51508.9509701683,0.4020661075061433,1.0,1.0
3,414,0.0046245845634338,0.0041940103635617,0.0020506188862024,235.94333333333333,65754.50018941547,0.443416886008858,1.0,1.0
4,400,0.0042717281988411,0.0039097903062933,0.0017894760070885,226.86333333333332,58795.59447691288,0.4189114858885542,1.0,1.0
5,442,0.0019859143106974,0.0016862487738481,0.0010589925966016,159.10555555555555,37521.58253930941,0.5332519086534689,0.9933333333333332,0.9922222222222222
6,451,0.0020184970979008,0.0017060362284092,0.0012385758638599,143.49333333333334,173615.11760622077,0.6136129029603437,0.9866666666666668,0.9788888888888888
7,444,0.0017794001795981,0.0014893901622172,0.0010151914578672,157.4622222222222,43851.69017344437,0.5705245337766021,0.9822222222222222,0.9755555555555556
8,97,0.001221757917508,0.0011153847551699,0.00050082126341,160.5522222222222,32666.077071414755,0.409918574075215,0.9677777777777776,0.9577777777777776
9,432,0.0010925463005152,0.0010158728646442,0.0004417835706826,146.79555555555555,15957.823256961705,0.4043614174285219,0.9355555555555556,0.9255555555555556
10,439,0.0010278781406703,0.0009962753558035,0.0004093218512658,145.18333333333334,18936.630877940846,0.3982202121731028,0.9066666666666666,0.8944444444444445
11,428,0.0009991980380879,0.000907371403035,0.0004489032397279,134.4088888888889,13031.560764324764,0.4492635319690123,0.8866666666666667,0.8622222222222222
12,435,0.0008510149838623,0.0007932639653891,0.0003892835389799,130.78,14997.821112213323,0.4574344122746391,0.8222222222222222,0.79
13,430,0.0008204509191937,0.0007527766112484,0.0003950178246665,124.17111111111112,17792.36119949286,0.4814642965538339,0.7666666666666667,0.7244444444444444
14,425,0.0007949125340368,0.0007233577474279,0.000381940385691,117.98333333333332,13199.120224153608,0.4804810206620827,0.7355555555555555,0.6955555555555556
15,418,0.0007017914332676,0.0006904561747909,0.0002312457789904,125.92111111111112,10561.072525710098,0.3295078395495714,0.7211111111111111,0.6833333333333333
16,411,0.0007414587165676,0.0006966011935362,0.0003278160299205,114.71,12990.794381839383,0.4421231048951787,0.7122222222222222,0.6666666666666666
17,286,0.0014511556250444,0.001074774616113,0.0013911951604589,124.60444444444444,15041.095676810392,0.9586808860809538,0.7055555555555556,0.6944444444444444
18,437,0.0006733084434759,0.0006254472288763,0.0003666571947389,110.07555555555555,13377.476549918154,0.5445605179790424,0.5988888888888889,0.5633333333333334
19,174,0.0007354824657511,0.0006322637552503,0.0005229941841597,111.42222222222222,28420.912597690694,0.7110899423355899,0.5644444444444444,0.5355555555555556
20,355,0.0006927837640522,0.0005983444541393,0.000715445206385,101.96222222222222,15282.334398082776,1.0327107006668863,0.5311111111111111,0.5133333333333333
