node,control,match_type,degree,control_degree,cis,control_cis,residual_cis,subject
400,414,pm10,260,262,0.0058745711280212,0.0049424219665243,0.0009321491614969002,1
414,400,pm10,262,260,0.0049424219665243,0.0058745711280212,-0.0009321491614969002,1
415,401,nearest50,257,229,0.0041675729760298,0.0030868625419193,0.0010807104341105,1
433,281,pm10,108,107,0.0033752461887575,0.000520539381673,0.0028547068070844997,1
401,97,nearest50,229,204,0.0030868625419193,0.0014730793060778,0.0016137832358415,1
80,439,pm10,154,148,0.0021372355836442,0.0009254416736983,0.0012117939099459002,1
442,80,pm10,169,154,0.0020993670239586,0.0021372355836442,-3.786855968560031e-05,1
97,442,nearest50,204,169,0.0014730793060778,0.0020993670239586,-0.0006262877178807998,1
82,123,pm10,132,132,0.0014483190939755,0.0007710544688254,0.0006772646251500999,1
355,316,pm10,146,138,0.0014439496447811,0.0013405393471773,0.00010341029760380007,1
316,435,pm10,138,138,0.0013405393471773,0.0008220313760947,0.0005185079710825999,1
450,284,pm10,124,123,0.0010128306575885,0.0007885322656036,0.0002242983919849001,1
174,82,pm10,133,132,0.0009778750640324,0.0014483190939755,-0.00047044402994309985,1
91,74,pm10,102,102,0.0009516583688654,0.0005147134494136,0.00043694491945180005,1
439,355,pm10,148,146,0.0009254416736983,0.0014439496447811,-0.0005185079710828,1
451,143,pm10,109,110,0.0009167027753092,0.0005904505687852,0.000326252206524,1
386,148,pm10,119,120,0.0008526175204564,0.0005991894671743,0.00025342805328210007,1
287,432,pm10,129,130,0.0008293137914189,0.0007157081123614,0.00011360567905749992,1
435,301,pm10,138,137,0.0008220313760947,0.0008001841301219,2.184724597279993e-05,1
444,174,pm10,132,133,0.0008176619269003,0.0009778750640324,-0.00016021313713210003,1
301,444,pm10,137,132,0.0008001841301219,0.0008176619269003,-1.7477796778399995e-05,1
284,303,pm10,123,123,0.0007885322656036,0.0005700598058776,0.00021847245972599994,1
267,147,pm10,118,117,0.0007768804010846,0.0007360988752693,4.078152581529998e-05,1
123,287,pm10,132,129,0.0007710544688254,0.0008293137914189,-5.825932259349994e-05,1
147,425,pm10,117,117,0.0007360988752693,0.0006137542978228,0.00012234457744649994,1
432,450,pm10,130,124,0.0007157081123614,0.0010128306575885,-0.00029712254522710005,1
286,96,pm10,115,115,0.0006749265865459,0.0005729727720073,0.00010195381453859999,1
152,288,pm10,121,121,0.0006720136204162,0.0006545358236383,1.747779677790007e-05,1
288,152,pm10,121,121,0.0006545358236383,0.0006720136204162,-1.747779677790007e-05,1
437,91,pm10,102,102,0.0006166672639523,0.0009516583688654,-0.0003349911049131,1
425,267,pm10,117,118,0.0006137542978228,0.0007768804010846,-0.00016312610326179992,1
139,163,pm10,113,113,0.0006108413316931,0.0005729727720073,3.7868559685799914e-05,1
148,386,pm10,120,119,0.0005991894671743,0.0008526175204564,-0.00025342805328210007,1
188,83,pm10,100,100,0.0005977329841096,0.0004768448897278,0.00012088809438180005,1
46,85,pm10,99,99,0.0005933635349149,0.0002379816670944,0.0003553818678205,1
143,430,pm10,110,111,0.0005904505687852,0.0005671468397479,2.3303729037299947e-05,1
411,418,pm10,114,114,0.0005846246365258,0.0005729727720073,1.1651864518499974e-05,1
311,179,pm10,95,95,0.000575885738137,0.0004710189574684,0.00010486678066860003,1
96,286,pm10,115,115,0.0005729727720073,0.0006749265865459,-0.00010195381453859999,1
163,139,pm10,113,113,0.0005729727720073,0.0006108413316931,-3.7868559685799914e-05,1
418,411,pm10,114,114,0.0005729727720073,0.0005846246365258,-1.1651864518499974e-05,1
303,99,pm10,123,112,0.0005700598058776,0.0004710189574684,9.904084840920004e-05,1
430,451,pm10,111,109,0.0005671468397479,0.0009167027753092,-0.00034955593556129996,1
308,31,pm10,97,97,0.0005554949752291,0.0003224576848549,0.00023303729037419996,1
63,66,pm10,93,93,0.0005525820090996,0.0004302374316531,0.0001223445774465,1
104,182,pm10,98,98,0.0005321912461918,0.0004506281945608,8.156305163100003e-05,1
401,414,pm10,263,251,0.0054408148762372,0.0049451267807654,0.0004956880954718008,3
414,400,pm10,251,243,0.0049451267807654,0.0032462551182428,0.0016988716625225995,3
415,401,nearest50,227,263,0.004021411279411,0.0054408148762372,-0.0014194035968262,3
442,432,pm10,189,181,0.0035095434538198,0.0016047479534156,0.0019047955004041998,3
400,415,pm10,243,227,0.0032462551182428,0.004021411279411,-0.0007751561611682002,3
399,97,pm10,144,147,0.0024063800365973,0.0007839943710021,0.0016223856655952,3
428,124,pm10,180,173,0.0019709982079336,0.001660641566555,0.0003103566413785999,3
253,430,pm10,154,152,0.001810671791297,0.0010428700529102,0.0007678017383867999,3
124,303,pm10,173,169,0.001660641566555,0.0012193761996659,0.0004412653668891,3
355,230,pm10,141,140,0.0016047479534156,0.0009001942509496,0.0007045537024660001,3
432,428,pm10,181,180,0.0016047479534156,0.0019709982079336,-0.0003662502545179998,3
357,444,pm10,132,131,0.0013252798877192,0.0007634019872139,0.0005618779005053,3
303,253,pm10,169,154,0.0012193761996659,0.001810671791297,-0.0005912955916310999,3
79,301,pm10,130,129,0.0011943711622089,0.0007075083740747,0.00048686278813420006,3
315,311,pm10,124,123,0.0010884674741556,0.0009457916721948,0.00014267580196080005,3
439,399,pm10,150,144,0.0010546371293607,0.0024063800365973,-0.0013517429072365998,3
430,439,pm10,152,150,0.0010428700529102,0.0010546371293607,-1.1767076450499995e-05,3
310,431,pm10,134,134,0.0009869764397711,0.0007575184489888,0.00022945799078230003,3
314,404,pm10,119,119,0.0009605005177576,0.0005162933817562,0.0004442071360014,3
311,302,pm10,123,122,0.0009457916721948,0.0006427894535977,0.00030300221859709997,3
230,355,pm10,140,141,0.0009001942509496,0.0016047479534156,-0.0007045537024660001,3
