node,stouffer_z,p_one_sided,q_bh,subjects_with_nulls
0,-inf,1.0,1.0,100
1,-inf,1.0,1.0,100
2,-inf,1.0,1.0,100
3,-inf,1.0,1.0,100
4,-inf,1.0,1.0,100
5,-inf,1.0,1.0,100
6,-inf,1.0,1.0,100
7,-inf,1.0,1.0,100
8,-inf,1.0,1.0,100
9,-inf,1.0,1.0,100
10,-inf,1.0,1.0,100
11,-inf,1.0,1.0,100
12,-inf,1.0,1.0,100
13,-inf,1.0,1.0,100
14,-inf,1.0,1.0,100
15,-inf,1.0,1.0,100
16,-inf,1.0,1.0,100
17,-inf,1.0,1.0,100
18,-inf,1.0,1.0,100
19,-inf,1.0,1.0,100
20,-inf,1.0,1.0,100
21,-inf,1.0,1.0,100
22,-inf,1.0,1.0,100
23,-inf,1.0,1.0,100
24,-inf,1.0,1.0,100
25,-inf,1.0,1.0,100
26,-inf,1.0,1.0,100
27,-inf,1.0,1.0,100
28,-inf,1.0,1.0,100
29,-inf,1.0,1.0,100
30,-inf,1.0,1.0,100
31,-inf,1.0,1.0,100
32,-inf,1.0,1.0,100
33,-inf,1.0,1.0,100
34,-inf,1.0,1.0,100
35,-inf,1.0,1.0,100
36,-inf,1.0,1.0,100
37,-inf,1.0,1.0,100
38,-inf,1.0,1.0,100
39,-inf,1.0,1.0,100
40,-inf,1.0,1.0,100
41,-inf,1.0,1.0,100
42,-inf,1.0,1.0,100
43,-inf,1.0,1.0,100
44,-inf,1.0,1.0,100
45,-inf,1.0,1.0,100
46,-inf,1.0,1.0,100
47,-inf,1.0,1.0,100
48,-inf,1.0,1.0,100
49,-inf,1.0,1.0,100
50,-inf,1.0,1.0,100
51,-inf,1.0,1.0,100
52,-inf,1.0,1.0,100
53,-inf,1.0,1.0,100
54,-inf,1.0,1.0,100
55,-inf,1.0,1.0,100
56,-inf,1.0,1.0,100
57,-inf,1.0,1.0,100
58,-inf,1.0,1.0,100
59,-inf,1.0,1.0,100
60,-inf,1.0,1.0,100
61,-inf,1.0,1.0,100
62,-inf,1.0,1.0,100
63,-inf,1.0,1.0,100
64,-inf,1.0,1.0,100
65,-inf,1.0,1.0,100
66,-inf,1.0,1.0,100
67,-inf,1.0,1.0,100
68,-inf,1.0,1.0,100
69,-inf,1.0,1.0,100
70,-inf,1.0,1.0,100
71,-inf,1.0,1.0,100
72,-inf,1.0,1.0,100
73,-inf,1.0,1.0,100
74,-inf,1.0,1.0,100
75,-inf,1.0,1.0,100
76,-inf,1.0,1.0,100
77,-inf,1.0,1.0,100
78,-inf,1.0,1.0,100
79,-inf,1.0,1.0,100
80,-inf,1.0,1.0,100
81,-inf,1.0,1.0,100
82,-inf,1.0,1.0,100
83,-inf,1.0,1.0,100
84,-inf,1.0,1.0,100
85,-inf,1.0,1.0,100
86,-inf,1.0,1.0,100
87,-inf,1.0,1.0,100
88,-inf,1.0,1.0,100
89,-inf,1.0,1.0,100
90,-inf,1.0,1.0,100
91,-inf,1.0,1.0,100
92,-inf,1.0,1.0,100
93,-inf,1.0,1.0,100
94,-inf,1.0,1.0,100
95,-inf,1.0,1.0,100
96,-inf,1.0,1.0,100
97,-inf,1.0,1.0,100
98,-inf,1.0,1.0,100
99,-inf,1.0,1.0,100
100,-inf,1.0,1.0,100
101,-inf,1.0,1.0,100
102,-inf,1.0,1.0,100
103,-inf,1.0,1.0,100
104,-inf,1.0,1.0,100
105,-inf,1.0,1.0,100
106,-inf,1.0,1.0,100
107,-inf,1.0,1.0,100
108,-inf,1.0,1.0,100
109,-inf,1.0,1.0,100
110,-inf,1.0,1.0,100
111,-inf,1.0,1.0,100
112,-inf,1.0,1.0,100
113,-inf,1.0,1.0,100
114,-inf,1.0,1.0,100
115,-inf,1.0,1.0,100
116,22.628539110470676,1.1349975006906042e-113,2.3525402741587066e-112,100
117,-inf,1.0,1.0,100
118,-inf,1.0,1.0,100
119,-inf,1.0,1.0,100
120,-inf,1.0,1.0,100
121,-inf,1.0,1.0,100
122,-inf,1.0,1.0,100
123,-inf,1.0,1.0,100
124,-inf,1.0,1.0,100
125,-inf,1.0,1.0,100
126,-inf,1.0,1.0,100
127,-inf,1.0,1.0,100
128,-inf,1.0,1.0,100
129,-inf,1.0,1.0,100
